GEOID,Dam_Name,Other_Names,Former_Names,NID_ID,Other_Structure_ID,Federal_ID,Owner_Names,Owner_Types,Primary_Owner_Type,Number_of_Associated_Structures,Is_Associated_Structure?,Designer_Names,Non-Federal_Dam_on_Federal_Property,Primary_Purpose,Purposes,Source_Agency,State_or_Federal_Agency_ID,Latitude,Longitude,State,County,City,Distance_to_Nearest_City_Miles,River_or_Stream_Name,Congressional_District,State_Regulated_Dam,State_Jurisdictional_Dam,State_Regulatory_Agency,State_Permitting_Authority,State_Inspection_Authority,State_Enforcement_Authority,Federally_Regulated_Dam,Federal_Agency_Owners,Federal_Agency_Involvement_Funding,Federal_Agency_Involvement_Design,Federal_Agency_Involvement_Construction,Federal_Agency_Involvement_Regulatory,Federal_Agency_Involvement_Inspection,Federal_Agency_Involvement_Operation,Federal_Agency_Involvement_Other,Built_Under_the_Authority_of_the_Secretary_of_Agriculture,NRCS_Watershed_Dam_Authorization,Primary_Dam_Type,Dam_Types,Core_Types,Foundation,Dam_Height_Ft,Hydraulic_Height_Ft,Structural_Height_Ft,NID_Height_Ft,NID_Height_Category,Dam_Length_Ft,Volume_Cubic_Yards,Year_Completed,Year_Completed_Category,Years_Modified,NID_Storage_Acre-Ft,Max_Storage_Acre-Ft,Normal_Storage_Acre-Ft,Surface_Area_Acres,Drainage_Area_Sq_Miles,Max_Discharge_Cubic_Ft/Second,Spillway_Type,Spillway_Width_Ft,Number_of_Locks,Length_of_Locks_ft,Lock_Width_Ft,Length_of_Secondary_Lock_Ft,Secondary_Lock_Width_Ft,Outlet_Gate_Type,Data_Last_Updated,Last_Inspection_Date,Inspection_Frequency,Hazard_Potential_Classification,Condition_Assessment,Condition_Assessment_Date,EAP_Prepared,EAP_Last_Revision_Date,Website_URL,Operational_Status,Operational_Status_Date,Inundation_Maps_Added_to_NID?,American_Indian/Alaska_Native/Native_Hawaiian,geometry,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
37061090402,Nc Hwy 11-903 Dam,NA,NA,NC05975,NA,NC05975,Daniel B Bell,Private,Private,0,No,NA,NA,Fish and Wildlife Pond,Fish and Wildlife Pond,North Carolina,DUPLI-032,35.006,-77.9107,North Carolina,Duplin,NA,NA,NA,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,NA,NA,0,Undetermined,NA,NA,NA,Undetermined,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2019-09-06,NA,High,Satisfactory,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-77.9107, 35.006)",37,061,090402,904.02,Census Tract 904.02,G5020,S,94012341,724136,+35.0056150,-077.9423760
37175960404,Summit Camp Dam Lower,Lake Julia Dam,NA,NC00203,NA,NC00203,NC Department of Agriculture & Consumer Services,State,State,0,No,NA,NA,Recreation,Recreation,North Carolina,TRANS-021,35.1812,-82.6083,North Carolina,Transylvania,Little River,6,Reasonover Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,NA,30,30,25-50 feet,12000,NA,NA,Undetermined,NA,1584,1584,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2015-02-11,NA,Significant,Satisfactory,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-82.6083, 35.1812)",37,175,960404,9604.04,Census Tract 9604.04,G5020,S,84984836,630945,+35.1710514,-082.6513395
37123960501,Research Lake Dam #2,NA,NA,NC00465,NA,NC00465,NC State University Sandhills Research Station,State,State,0,No,NA,NA,Irrigation,Irrigation,North Carolina,MONTG-009,35.189,-79.69,North Carolina,Montgomery,Norman,1,Naked Creek,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,23,29,29,25-50 feet,570,NA,1966,1960-1969,NA,106,106,88,9,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2022-03-31,NA,Low,Fair,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-79.69, 35.189)",37,123,960501,9605.01,Census Tract 9605.01,G5020,S,79099585,286583,+35.2340187,-079.7148781
37169070200,Hanging Rock State Park Dam,NA,NA,NC00342,NA,NC00342,NC Department of Parks and Recreation,State,State,0,No,NA,NA,Recreation,Recreation,North Carolina,STOKE-016,36.3924,-80.2691,North Carolina,Stokes,Moores Springs,3,Cascade Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Concrete,Concrete;Gravity,NA,NA,NA,33,38,38,25-50 feet,190,NA,1938,1930-1939,NA,290,290,140,11.9,454,1855,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2021-03-10,NA,High,Fair,NA,Yes,2015-04-01,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-80.2691, 36.3924)",37,169,070200,702,Census Tract 702,G5020,S,193914444,1075423,+36.4620598,-080.2451130
37135011002,Occoneechee Upper Dam,NA,NA,NC05776,NA,NC05776,NC Department of Parks and Recreation,State,State,0,No,NA,NA,Recreation,Recreation,North Carolina,ORANG-055,36.06,-79.1147,North Carolina,Orange,NA,0,UT to Eno River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,NA,NA,0,Undetermined,NA,NA,NA,Undetermined,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2022-02-21,NA,High,Satisfactory,NA,Yes,2016-01-01,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-79.1147, 36.06)",37,135,011002,110.02,Census Tract 110.02,G5020,S,21220599,417734,+36.0689132,-079.1041654
37151030503,Caraway Lake Dam #2,NA,NA,NC01650,NA,NC01650,"Baptist State Convention of NC, Inc.",Private,Private,0,No,NA,NA,Recreation,Recreation,North Carolina,RANDO-073,35.765,-79.898,North Carolina,Randolph,Farmer,12,Caraway Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,28,35,35,25-50 feet,228,NA,NA,Undetermined,NA,99,99,80,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2023-02-23,NA,Low,Fair,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-79.898, 35.765)",37,151,030503,305.03,Census Tract 305.03,G5020,S,107108940,2448942,+35.7774144,-079.8814138
37183053106,Underwood Pond Dam,NA,NA,NC05218,NA,NC05218,NC Department of Transportation,State,State,0,No,NA,NA,Recreation,Recreation,North Carolina,WAKE-369,35.5736,-78.8375,North Carolina,Wake,NA,NA,NA,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,15,17,17,Less than 25 feet,440,NA,NA,Undetermined,NA,27,27,NA,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2022-02-01,NA,High,Fair,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-78.8375, 35.5736)",37,183,053106,531.06,Census Tract 531.06,G5020,S,7822065,20945,+35.5862109,-078.8216597
37151030804,Lower Zoo Dam,NA,NA,NC05150,NA,NC05150,NC Zoological Authority,State,State,0,No,NA,NA,Irrigation,Irrigation;Recreation,North Carolina,RANDO-193,35.6183,-79.7528,North Carolina,Randolph,NA,NA,Panther Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,16,22,22,Less than 25 feet,860,NA,1978,1970-1979,NA,137,137,65,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2023-02-23,NA,High,Fair,NA,Yes,2015-01-01,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-79.7528, 35.6183)",37,151,030804,308.04,Census Tract 308.04,G5020,S,60213760,131706,+35.6209839,-079.7778424
37183980200,Umstead Park Lake Dam #1,Big Lake Dam,NA,NC00881,NA,NC00881,NC Department of Parks and Recreation,State,State,0,No,NA,NA,Recreation,Recreation,North Carolina,WAKE-054,35.87,-78.7623,North Carolina,Wake,Raleigh,6,Sycamore Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,18,30,30,25-50 feet,410,NA,1940,1940-1949,NA,432,432,360,25,4550,165,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2022-12-28,NA,Low,Fair,NA,No,NA,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-78.7623, 35.87)",37,183,980200,9802,Census Tract 9802,G5020,S,21360472,332607,+35.8654838,-078.7490058
37081016503,Bridford Apartments Dam,NA,NA,NC05694,NA,NC05694,PRCP-NC Greensboro LLC,Private,Private,0,No,NA,NA,Flood Risk Reduction,Flood Risk Reduction,North Carolina,GUILF-316,36.0422,-79.9046,North Carolina,Guilford,NA,NA,UT to Bull Run,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A,Earth,Earth,NA,NA,NA,15,20,20,Less than 25 feet,300,NA,1997,1990-1999,NA,24,24,12,2,146,989,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25,2023-02-09,NA,High,Fair,NA,Yes,1997-11-26,https://damsafety.org/north-carolina,NA,NA,No,NA,"c(-79.9046, 36.0422)",37,081,016503,165.03,Census Tract 165.03,G5020,S,5311074,8728,+36.0503378,-079.9040126
