GEOID,E_TOTPOP,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
37001020100,4477,0.8341,0.9167,0.5317,0.6323,0.825
37001020200,4213,0.9822,0.8947,0.8848,0.7289,0.9481
37001020301,4004,0.9966,0.9845,0.8539,0.9602,0.9977
37001020302,3432,0.7871,0.7266,0.8927,0.6024,0.7852
37001020400,6682,0.9345,0.9602,0.8905,0.827,0.961
37001020501,3857,0.497,0.4532,0.4524,0.8376,0.636
37001020502,4356,0.889,0.8148,0.9271,0.8448,0.9186
37001020601,3329,0.0205,0.2412,0.0903,0.0125,0.011
37001020602,2664,0.0924,0.446,0.1711,0.5566,0.2409
37001020701,5721,0.3277,0.4445,0.4452,0.7914,0.5345
37001020702,5473,0.5261,0.6024,0.7081,0.2397,0.4928
37001020801,1970,0.4064,0.699,0.7474,0.6793,0.6417
37001020802,5502,0.9277,0.9091,0.8927,0.8599,0.9462
37001020901,3821,0.1413,0.7577,0.557,0.6717,0.4678
37001020902,4528,0.2617,0.3366,0.3977,0.1636,0.2053
37001021000,4805,0.9758,0.7967,0.8505,0.8137,0.9417
37001021101,3609,0.4492,0.0962,0.6858,0.3101,0.308
37001021102,3314,0.4379,0.3821,0.4475,0.5824,0.4742
37001021201,6332,0.8155,0.9652,0.7685,0.8304,0.9133
37001021204,5349,0.3235,0.4578,0.6197,0.4608,0.4292
37001021205,7693,0.3019,0.1863,0.7576,0.6244,0.4152
37001021206,5804,0.3246,0.3075,0.5585,0.5373,0.4072
37001021207,3681,0.4845,0.457,0.3622,0.7005,0.5587
37001021300,6171,0.3216,0.3983,0.5166,0.7656,0.5106
37001021400,2399,0.2989,0.8781,0.4475,0.602,0.5723
37001021500,4374,0.1667,0.0784,0.1767,0.4892,0.1564
37001021600,7937,0.3977,0.0776,0.2776,0.8932,0.4428
37001021701,3325,0.1197,0.1458,0.1197,0.5479,0.1712
37001021702,6862,0.4663,0.008,0.2998,0.5078,0.1848
37001021703,7560,0.1731,0.1696,0.6152,0.7997,0.3784
37001021801,4768,0.1928,0.5676,0.1186,0.0958,0.15
37001021802,3643,0.4523,0.2666,0.2247,0.1386,0.2356
37001021803,3325,0.2193,0.1681,0.1628,0.5854,0.2508
37001021901,4930,0.2659,0.3018,0.2236,0.2355,0.2068
37001021902,3872,0.5614,0.9546,0.4162,0.4267,0.672
37001022001,3633,0.2981,0.4279,0.2662,0.2298,0.2545
37001022002,4364,0.5867,0.8054,0.5,0.4173,0.6299
37003040100,3322,0.647,0.4362,0.0993,0.8921,0.6583
37003040200,3700,0.533,0.4688,0.1186,0.0996,0.2761
37003040300,3235,0.4625,0.7259,0.0264,0.6778,0.5652
37003040400,6422,0.5822,0.7501,0.3622,0.9091,0.7462
37003040500,6603,0.3045,0.4919,0.2266,0.3381,0.3136
37003040600,6301,0.3337,0.1037,0.2372,0.8713,0.417
37003040700,6922,0.3962,0.4684,0.1054,0.1977,0.2788
37005950100,4148,0.6341,0.4585,0.1503,0.8629,0.6557
37005950200,3832,0.7735,0.7679,0.2406,0.894,0.8019
37005950300,3009,0.8174,0.6373,0.1681,0.5937,0.6939
37007920100,2804,0.6447,0.9284,0.7859,0.2745,0.6886
37007920200,1751,0.6614,0.6706,0.6295,0.5297,0.6678
37007920301,4311,0.6451,0.5831,0.631,0.3393,0.5742
37007920302,598,0.6822,0.0405,0.5457,0.067,0.208
37007920400,2283,0.8409,0.7005,0.8995,0.6831,0.8227
37007920501,1014,0.8152,0.2295,0.7194,0.0784,0.428
37007920502,4210,0.7644,0.7618,0.8165,0.8016,0.8292
37007920600,3555,0.8958,0.9008,0.8138,0.7626,0.9106
37007980000,1674,NA,NA,0.6594,NA,NA
37009970200,2637,0.272,0.2681,0.0193,0.368,0.2193
37009970300,2316,0.4201,0.7959,0.0819,0.2757,0.4231
37009970400,4663,0.4799,0.6778,0.1167,0.7804,0.6155
37009970501,3006,0.8098,0.2507,0.1276,0.9281,0.7117
37009970502,3595,0.5788,0.969,0.2149,0.9826,0.8602
37009970701,3683,0.4955,0.4457,0.0026,0.0417,0.186
37009970702,1750,0.3511,0.5888,0.0279,0.1583,0.2568
37009970801,1957,0.6053,0.1427,0.1054,0.4142,0.3648
37009970802,3152,0.4383,0.9087,0.0797,0.8448,0.689
37011930100,3342,0.7803,0.4347,0.1828,0.8379,0.7095
37011930200,3013,0.4095,0.2715,0.1341,0.8076,0.4708
37011930301,3158,0.8023,0.6111,0.0253,0.8868,0.75
37011930302,2668,0.5068,0.2594,0.0181,0.7293,0.4602
37011930400,5498,0.4223,0.4983,0.3301,0.8641,0.6011
37013930101,3201,0.3027,0.3283,0.4332,0.557,0.3799
37013930102,1658,0.9466,0.8629,0.7508,0.7603,0.9197
37013930200,5519,0.7746,0.61,0.4739,0.4737,0.6663
37013930300,3802,0.897,0.7982,0.8482,0.9144,0.928
37013930400,4853,0.6686,0.9451,0.6669,0.7777,0.8269
37013930501,3982,0.8606,0.8262,0.5344,0.4286,0.761
37013930502,3657,0.5019,0.5517,0.4958,0.7081,0.617
37013930600,3102,0.0989,0.2094,0.0684,0.3128,0.1155
37013930700,2771,0.3015,0.1185,0.0378,0.1094,0.1004
37013930800,2248,0.9288,0.9069,0.7523,0.4555,0.8576
37013930900,3677,0.2545,0.1401,0.2066,0.3555,0.1955
37013931001,3066,0.797,0.8766,0.4766,0.4903,0.7511
37013931002,3175,0.7322,0.741,0.6356,0.9167,0.833
37015960100,4211,0.7341,0.2828,0.5597,0.5256,0.5917
37015960200,3924,0.7102,0.5365,0.8633,0.9731,0.8417
37015960300,3586,0.9523,0.8648,0.932,0.6513,0.9129
37015960401,2491,0.389,0.4964,0.8259,0.8989,0.6758
37015960402,3606,0.947,0.4392,0.9196,0.8644,0.8917
37017950101,2538,0.3182,0.5199,0.5529,0.6664,0.5072
37017950102,2336,0.6106,0.5532,0.5759,0.8111,0.7049
37017950200,2574,0.7867,0.3707,0.7054,0.2825,0.5795
37017950301,3209,0.7269,0.8792,0.6167,0.7141,0.8
37017950302,3012,0.5595,0.373,0.5264,0.9084,0.6765
37017950401,3398,0.7216,0.5566,0.7545,0.7062,0.7314
37017950402,2517,0.1405,0.237,0.7217,0.2064,0.1792
37017950501,2722,0.4125,0.905,0.4974,0.3934,0.5814
37017950502,3400,0.5705,0.6225,0.4823,0.4491,0.5674
37017950601,2207,0.8932,0.6641,0.7965,0.7486,0.8583
37017950602,1894,0.8826,0.5676,0.9573,0.4139,0.7595
37019020101,2683,0.9644,0.5661,0.8591,0.7353,0.8867
37019020102,6393,0.4352,0.3715,0.3055,0.6153,0.4598
37019020105,6207,0.1295,0.3552,0.3036,0.1776,0.142
37019020106,2866,0.2432,0.6959,0.199,0.3275,0.3333
37019020107,3425,0.5841,0.1541,0.5529,0.4646,0.447
37019020108,3313,0.4871,0.3817,0.6356,0.6346,0.5568
37019020201,6459,0.65,0.3389,0.4766,0.3726,0.4939
37019020203,2144,0.4023,0.1613,0.2421,0.1189,0.1761
37019020204,6729,0.5523,0.4165,0.1242,0.6535,0.5189
37019020205,8868,0.0761,0.0984,0.1926,0.6168,0.1519
37019020206,1925,0.3697,0.1704,0.4301,0.5089,0.3481
37019020304,9654,0.2352,0.2609,0.085,0.1049,0.1152
37019020305,2917,0.389,0.1905,0.4003,0.1931,0.2413
37019020306,2119,0.2973,0.1549,0.1076,0.7221,0.328
