Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Nc Hwy 11-903 Dam,,,NC05975,,NC05975,Daniel B Bell,Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,North Carolina,DUPLI-032,35.006,-77.9107,North Carolina,Duplin,,,,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2019-09-06,,High,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Summit Camp Dam Lower,Lake Julia Dam,,NC00203,,NC00203,NC Department of Agriculture & Consumer Services,State,State,0,No,,,Recreation,Recreation,North Carolina,TRANS-021,35.1812,-82.6083,North Carolina,Transylvania,Little River,6,Reasonover Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,30,30,25-50 feet,12000,,,Undetermined,,1584,1584,1320,,,,,,,,,,,,2023-09-25,2015-02-11,,Significant,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Research Lake Dam #2,,,NC00465,,NC00465,NC State University Sandhills Research Station,State,State,0,No,,,Irrigation,Irrigation,North Carolina,MONTG-009,35.189,-79.69,North Carolina,Montgomery,Norman,1,Naked Creek,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,29,29,25-50 feet,570,,1966,1960-1969,,106,106,88,9,,178,,,,,,,,,2023-09-25,2022-03-31,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hanging Rock State Park Dam,,,NC00342,,NC00342,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,STOKE-016,36.3924,-80.2691,North Carolina,Stokes,Moores Springs,3,Cascade Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Gravity,,,,33,38,38,25-50 feet,190,,1938,1930-1939,,290,290,140,11.9,454,1855,,,,,,,,,2023-09-25,2021-03-10,,High,Fair,,Yes,2015-04-01,https://damsafety.org/north-carolina,,,No,
Occoneechee Upper Dam,,,NC05776,,NC05776,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,ORANG-055,36.06,-79.1147,North Carolina,Orange,,0,UT to Eno River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2022-02-21,,High,Satisfactory,,Yes,2016-01-01,https://damsafety.org/north-carolina,,,No,
Caraway Lake Dam #2,,,NC01650,,NC01650,"Baptist State Convention of NC, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,RANDO-073,35.765,-79.898,North Carolina,Randolph,Farmer,12,Caraway Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,28,35,35,25-50 feet,228,,,Undetermined,,99,99,80,7,,,,,,,,,,,2023-09-25,2023-02-23,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Underwood Pond Dam,,,NC05218,,NC05218,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-369,35.5736,-78.8375,North Carolina,Wake,,,,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,17,17,Less than 25 feet,440,,,Undetermined,,27,27,,4,90,,,,,,,,,,2023-09-25,2022-02-01,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lower Zoo Dam,,,NC05150,,NC05150,NC Zoological Authority,State,State,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,RANDO-193,35.6183,-79.7528,North Carolina,Randolph,,,Panther Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,22,22,Less than 25 feet,860,,1978,1970-1979,,137,137,65,10,,,,,,,,,,,2023-09-25,2023-02-23,,High,Fair,,Yes,2015-01-01,https://damsafety.org/north-carolina,,,No,
Umstead Park Lake Dam #1,Big Lake Dam,,NC00881,,NC00881,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-054,35.87,-78.7623,North Carolina,Wake,Raleigh,6,Sycamore Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,30,30,25-50 feet,410,,1940,1940-1949,,432,432,360,25,4550,165,,,,,,,,,2023-09-25,2022-12-28,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Bridford Apartments Dam,,,NC05694,,NC05694,PRCP-NC Greensboro LLC,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,GUILF-316,36.0422,-79.9046,North Carolina,Guilford,,,UT to Bull Run,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,20,20,Less than 25 feet,300,,1997,1990-1999,,24,24,12,2,146,989,,,,,,,,,2023-09-25,2023-02-09,,High,Fair,,Yes,1997-11-26,https://damsafety.org/north-carolina,,,No,
